"2011_10" "2011_11" "2011_12" "2012_1" "2012_2" "2012_3" "2012_4" "2012_5" "2012_6" "2012_7" "2012_08" "2012_09" "2012_10" "2012_11" "2012_12" "2013_01" "2013_02" "2013_03" "2013_04" "2013_05" "2013_06" "2013_07" "2013_08" "2013_09"
"ARname_5.3" 46 72 92 121 166 442 972 975 313 22 51 24 6 4 29 104 215 710 696 323 92 32 13 24
"ARname_5.2" 149 199 343 456 1124 3063 3637 2882 984 55 77 31 23 35 57 302 502 1346 1834 690 142 43 37 20
"ARname_4.0" 114 192 292 381 525 1818 1898 1789 671 62 87 49 52 43 92 365 648 1922 2132 879 170 77 112 160
"ARname_5.1" 173 126 553 901 2137 5872 8333 5254 1528 232 228 106 107 138 133 330 847 1877 2031 824 229 89 37 37
"ARname_3.3" 89 194 409 1202 2696 4874 5412 4823 1678 181 312 129 120 81 101 248 661 1576 1931 911 263 97 34 29
"ARname_1.0" 39 53 132 167 310 550 863 1051 308 103 96 48 40 34 42 110 434 993 1347 692 122 16 17 12
"ARname_3.1" 84 210 497 545 819 1529 1338 2609 676 155 443 199 158 164 197 474 875 2316 2610 918 262 91 50 28
"ARname_3.2" 64 106 179 260 843 1809 2712 3205 1327 194 150 115 63 49 72 167 422 889 1220 744 211 44 32 26
"ARname_2.2" 51 40 142 119 263 513 832 852 789 291 108 62 43 36 45 109 417 1181 1519 1008 196 16 30 8
"ARname_2.1" 77 73 233 238 337 549 906 1019 414 106 152 86 91 78 103 385 832 1588 2156 1461 219 75 28 13
