"Pop_11" "Pop_12" "Pop_14" "Pop_16" "Pop_17" "Pop_19" "Pop_21" "Pop_23" "Pop_25" "Pop_28" "Pop_30" "Pop_33" "Pop_36" "Pop_39" "Pop_42" "Pop_46" "Pop_49" "Pop_53" "Pop_57" "Pop_61" "Pop_65" "Pop_69" "Pop_74" "Pop_78" "Pop_84" "Pop_90" "Pop_96" "Pop_104" "Pop_112" "Pop_120" "Pop_128" "Pop_137" "Pop_146" "Pop_156" "Pop_165" "Pop_176" "Pop_187" "Pop_200" "Pop_214" "Pop_228" "Pop_242" "Pop_255" "Pop_270" "Pop_286" "Pop_302" "Pop_320" "Pop_336" "Pop_354" "Pop_371" "Pop_386" "Pop_400" "Pop_414" "Pop_431" "Pop_448" "Pop_464" "Pop_480" "Pop_496" "Pop_513" "Pop_529" "Pop_546" "Pop_563" "Pop_580" "Pop_597" "Pop_613" "Pop_629" "Pop_645" "Pop_662" "Pop_679" "Pop_696" "Pop_716" "Pop_734" "Pop_751" "Pop_769" "Pop_788" "Pop_808" "Pop_828" "Pop_846" "Pop_865" "Pop_884" "Pop_906" "Pop_930" "Pop_953" "Pop_976" "Pop_1004" "Pop_1034" "Pop_1064" "Pop_1097" "Pop_1137" "Pop_1180" "Pop_1227" "Pop_1285" "Pop_1348" "Pop_1422" "Pop_1512" "Pop_1622" "Pop_1771" "Pop_1957" "Pop_2227" "Pop_2696" "Pop_5787"
"2011_10" 0 0 1 1 0 0 0 2 1 0 0 0 1 0 1 2 2 1 3 3 3 1 1 3 6 2 1 1 8 3 8 3 4 7 0 2 6 2 2 7 10 4 3 3 2 17 7 10 6 6 8 9 3 9 8 12 14 7 11 8 7 12 7 12 10 11 11 18 15 18 19 2 11 10 21 10 12 16 13 13 8 8 13 11 20 20 20 19 16 15 18 18 20 19 32 20 29 24 32 31
"2011_11" 2 0 0 0 1 0 1 0 2 0 0 1 2 1 6 0 0 1 3 4 1 0 3 5 16 2 1 4 6 7 4 8 1 9 5 4 7 6 7 10 13 9 14 11 12 11 4 8 5 14 13 16 7 6 13 12 14 12 12 11 6 18 12 17 20 14 22 16 11 21 23 9 17 15 22 16 16 18 19 21 15 13 26 23 26 27 25 42 25 28 33 27 32 26 22 26 38 30 40 61
"2011_12" 3 1 2 0 1 2 1 1 0 4 1 3 5 8 4 6 10 3 5 2 2 3 5 8 10 16 3 6 12 9 4 9 4 8 10 9 8 8 8 15 19 14 12 15 20 9 14 29 20 15 20 17 20 29 16 20 33 21 23 32 38 38 25 43 44 51 49 47 43 50 38 41 45 34 47 47 52 47 57 66 43 48 54 43 71 68 51 56 58 55 72 60 68 71 74 67 77 87 115 115
"2012_1" 1 2 2 1 3 1 1 0 2 5 2 2 3 14 6 3 6 1 3 6 2 4 3 12 23 7 6 4 9 4 10 14 13 16 15 10 23 10 18 26 16 29 20 19 22 38 17 20 29 35 32 27 32 26 44 51 30 23 35 31 46 41 57 74 62 50 61 79 63 77 76 92 92 76 91 81 91 81 78 89 87 105 121 98 115 134 96 124 92 87 97 80 80 95 104 61 110 119 113 146
"2012_2" 2 1 2 2 2 2 2 6 3 3 4 5 7 11 6 6 7 6 5 6 7 6 10 23 11 17 9 16 14 12 17 21 22 22 22 15 37 23 33 52 42 44 37 32 46 60 46 48 50 46 56 87 94 85 98 94 89 69 80 78 107 80 81 168 133 112 130 137 125 195 167 220 149 198 173 214 209 192 209 214 228 217 228 216 236 289 221 230 209 199 207 148 193 169 211 186 194 192 212 264
"2012_3" 9 4 8 6 5 5 4 18 1 14 9 15 9 13 18 9 22 17 12 16 13 17 19 12 12 29 15 28 41 35 50 33 53 42 52 37 61 63 63 71 89 114 102 84 93 102 96 155 119 143 170 169 201 197 197 238 218 240 201 188 245 246 233 398 327 317 400 332 342 420 459 410 368 465 457 446 423 483 445 453 490 577 474 408 594 531 528 538 407 489 532 391 422 466 384 334 438 357 476 438
"2012_4" 8 4 10 7 14 1 10 7 13 9 9 14 13 2 21 15 9 20 13 17 26 12 20 26 21 34 22 35 61 46 82 33 75 49 60 47 107 94 102 100 122 129 140 109 114 167 108 193 169 152 203 274 228 283 286 259 278 309 288 285 297 369 341 450 390 418 475 361 395 442 463 411 455 653 629 578 568 624 627 599 577 709 637 631 592 686 596 506 568 709 682 525 592 637 562 497 655 523 570 540
"2012_5" 16 7 20 9 4 5 6 1 13 11 11 2 13 5 20 9 12 27 9 14 17 19 19 26 21 42 31 30 62 38 50 50 53 41 55 51 66 69 99 95 95 98 90 127 128 143 117 188 166 142 209 258 224 221 218 246 245 288 246 299 256 283 300 344 342 365 485 348 374 358 375 374 407 539 464 428 453 536 540 481 514 530 528 566 508 628 568 501 486 652 623 511 663 580 583 565 601 547 644 713
"2012_6" 3 1 5 3 4 2 4 4 4 3 2 3 8 2 4 3 6 8 7 6 10 6 8 7 9 14 15 14 19 12 24 18 12 15 16 22 31 19 25 31 28 37 43 47 55 53 31 71 44 45 64 106 74 81 73 79 85 95 75 83 99 87 101 137 105 110 137 126 121 110 118 134 151 161 142 145 129 179 189 156 171 147 178 160 217 213 236 162 179 215 249 173 240 270 254 218 290 259 277 265
"2012_7" 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 3 3 0 1 1 1 3 3 1 2 0 2 7 1 4 5 0 4 2 7 7 8 3 9 3 2 4 2 10 3 4 9 7 8 10 5 7 14 12 12 19 12 15 13 14 16 12 17 22 20 18 20 24 14 18 40 28 31 15 32 25 15 28 31 37 31 35 40 33 43 42 44 58 58 66 69 78 71
