"Pop_18" "Pop_38" "Pop_68" "Pop_120" "Pop_206" "Pop_326" "Pop_460" "Pop_595" "Pop_741" "Pop_908" "Pop_1179" "Pop_4970"
"2011_10" 5 6 21 33 36 55 74 82 117 96 150 211
"2011_11" 6 10 33 37 63 82 96 124 139 152 241 282
"2011_12" 11 38 41 68 93 135 184 329 351 425 504 693
"2012_1" 13 39 56 77 147 206 278 426 664 772 854 858
"2012_2" 22 45 78 137 270 376 709 899 1397 1798 1831 1658
"2012_3" 59 98 130 294 547 929 1690 2393 3355 3933 4159 3432
"2012_4" 70 95 156 402 768 1180 2199 3095 3948 5129 5114 4747
"2012_5" 81 78 157 367 621 1138 1990 2706 3372 4191 4682 5076
"2012_6" 29 30 63 133 213 395 682 881 1091 1332 1720 2119
"2012_7" 3 3 8 12 31 39 59 113 151 207 278 497
"2012_08" 4 8 16 12 28 57 71 146 200 272 289 601
"2012_09" 1 3 1 4 18 28 39 65 92 131 180 287
"2012_10" 1 3 6 8 11 27 35 56 73 93 120 270
"2012_11" 0 3 10 8 16 27 48 52 64 87 127 220
"2012_12" 4 3 6 18 31 36 49 87 103 138 136 260
"2013_01" 17 27 29 67 107 140 218 241 302 313 396 737
"2013_02" 15 56 72 99 217 283 393 573 688 814 936 1707
"2013_03" 66 128 196 322 484 777 1002 1313 1659 1956 2438 4057
"2013_04" 77 157 191 340 588 835 1272 1592 1970 2196 3029 5229
"2013_05" 32 70 99 189 267 419 532 682 899 1000 1354 2907
"2013_06" 8 12 18 33 44 105 132 154 207 234 348 611
"2013_07" 2 2 2 12 17 38 42 54 54 88 106 163
"2013_08" 2 8 14 12 14 17 31 40 52 49 49 102
"2013_09" 7 7 4 21 15 21 33 46 41 43 55 64
