"Pop_13" "Pop_20" "Pop_29" "Pop_40" "Pop_55" "Pop_72" "Pop_94" "Pop_124" "Pop_161" "Pop_208" "Pop_264" "Pop_328" "Pop_392" "Pop_455" "Pop_522" "Pop_588" "Pop_654" "Pop_723" "Pop_798" "Pop_878" "Pop_968" "Pop_1089" "Pop_1269" "Pop_1618" "Pop_5219"
"2011_10" 2 2 1 4 9 8 10 22 13 17 20 36 29 32 40 38 50 54 52 54 40 79 67 91 116
"2011_11" 2 2 3 9 8 9 23 25 19 30 47 35 48 38 49 53 72 64 70 74 77 120 113 106 169
"2011_12" 6 5 8 23 20 18 35 34 31 39 60 72 72 85 109 144 191 172 173 222 188 246 245 280 394
"2012_1" 6 5 11 26 16 21 40 37 54 77 84 97 123 153 119 218 252 308 340 339 411 469 356 340 488
"2012_2" 7 12 15 30 24 46 53 64 81 145 155 200 239 371 316 436 512 707 734 824 889 976 763 759 862
"2012_3" 27 32 39 49 67 61 84 159 184 258 389 446 601 833 847 1122 1376 1631 1736 1804 1949 2191 1819 1606 1709
"2012_4" 29 32 45 51 59 84 112 222 231 403 500 582 798 1056 1160 1457 1644 1711 2315 2418 2554 2380 2484 2288 2288
"2012_5" 52 16 37 47 62 81 124 200 200 329 410 576 775 909 1078 1183 1540 1481 1838 2010 2138 2205 2272 2391 2505
"2012_6" 12 14 12 17 27 31 52 73 65 106 155 210 259 307 338 424 478 483 599 653 656 828 816 982 1091
"2012_7" 2 1 1 2 1 7 3 9 10 13 24 17 19 28 36 55 58 71 76 117 87 127 151 202 284
"2012_08" 3 1 3 4 4 9 8 6 8 21 19 27 28 33 44 74 71 95 110 143 126 127 155 215 370
"2012_09" 0 1 0 3 1 0 1 2 6 13 9 10 17 21 19 30 43 35 56 57 70 76 96 103 180
"2012_10" 1 0 1 0 6 2 1 4 6 5 6 19 14 17 20 22 31 31 46 45 45 53 67 99 162
"2012_11" 0 0 2 0 6 3 4 5 5 8 7 16 25 18 23 21 34 25 34 48 38 47 77 69 147
"2012_12" 1 1 4 1 2 3 3 8 13 23 13 18 24 21 24 31 60 54 54 73 52 64 69 92 163
"2013_01" 3 10 10 14 15 14 21 43 32 58 58 75 70 104 116 123 113 140 159 162 146 179 202 247 480
"2013_02" 5 6 19 22 36 44 40 50 72 116 109 148 154 178 224 266 332 327 324 396 425 414 474 629 1043
"2013_03" 27 33 57 52 87 111 127 146 212 239 317 385 396 476 544 565 734 749 877 949 994 1125 1238 1500 2458
"2013_04" 26 35 72 77 87 109 108 179 200 334 332 435 480 618 622 748 875 956 957 1042 1126 1429 1516 1950 3163
"2013_05" 18 13 21 43 32 60 65 103 105 137 179 197 207 266 296 301 379 399 462 500 503 594 726 1049 1795
"2013_06" 5 1 6 5 8 9 18 15 17 20 49 47 58 60 57 69 86 90 122 104 120 163 184 220 373
"2013_07" 0 0 2 2 1 1 5 5 5 11 10 23 12 23 25 11 39 29 28 46 45 52 45 61 99
"2013_08" 0 1 4 3 7 8 5 7 1 9 9 5 11 21 17 19 23 27 20 23 21 25 22 43 59
"2013_09" 2 4 5 2 1 2 10 13 6 6 9 8 18 16 20 21 16 19 20 20 25 25 28 23 38
