"Pop_12" "Pop_14" "Pop_18" "Pop_22" "Pop_26" "Pop_32" "Pop_37" "Pop_44" "Pop_51" "Pop_59" "Pop_67" "Pop_76" "Pop_87" "Pop_100" "Pop_116" "Pop_132" "Pop_150" "Pop_170" "Pop_194" "Pop_221" "Pop_248" "Pop_278" "Pop_311" "Pop_345" "Pop_378" "Pop_408" "Pop_439" "Pop_472" "Pop_505" "Pop_538" "Pop_572" "Pop_604" "Pop_636" "Pop_670" "Pop_706" "Pop_742" "Pop_778" "Pop_817" "Pop_856" "Pop_896" "Pop_941" "Pop_991" "Pop_1049" "Pop_1119" "Pop_1206" "Pop_1316" "Pop_1470" "Pop_1709" "Pop_2127" "Pop_5489"
"2011_10" 0 2 0 2 1 0 1 3 3 6 4 4 8 2 11 11 11 2 8 9 14 6 19 17 12 17 12 20 21 19 19 19 21 29 33 21 21 31 28 26 16 24 40 39 31 36 39 52 53 63
"2011_11" 2 0 1 1 2 1 3 6 1 7 1 8 18 5 13 12 10 9 13 17 22 25 23 12 19 29 13 25 26 23 24 29 34 38 32 32 32 38 34 40 28 49 53 67 53 60 58 48 68 101
"2011_12" 4 2 3 2 4 4 13 10 13 7 5 13 26 9 21 13 12 19 16 23 33 27 29 43 35 37 49 36 54 55 76 68 95 96 93 79 79 94 99 123 91 97 139 107 113 132 139 141 164 230
"2012_1" 3 3 4 1 7 4 17 9 7 9 6 15 30 10 13 24 29 25 33 44 45 39 60 37 64 59 58 95 53 66 87 131 112 140 140 168 168 172 172 167 192 219 249 220 179 177 175 165 229 259
"2012_2" 3 4 4 8 6 9 18 12 13 11 13 33 28 25 26 38 44 37 60 85 86 69 106 94 96 143 179 192 158 158 187 249 245 267 320 387 347 387 401 423 445 444 525 451 408 355 362 397 386 476
"2012_3" 13 14 10 22 15 24 22 27 39 28 30 31 41 43 76 83 95 89 124 134 203 186 195 251 262 339 398 435 458 389 491 631 644 732 762 869 833 903 906 898 1067 882 1125 1066 896 923 888 718 795 914
"2012_4" 12 17 15 17 22 23 15 36 29 30 38 46 55 57 107 115 124 107 201 202 251 249 281 301 321 477 511 545 587 573 666 791 808 836 837 874 1108 1207 1192 1226 1286 1268 1278 1102 1277 1207 1229 1059 1178 1110
"2012_5" 23 29 9 7 24 13 18 29 39 23 36 45 63 61 100 100 94 106 135 194 193 217 271 305 308 467 445 464 533 545 539 644 707 833 732 749 946 892 989 1021 1044 1094 1136 1069 1138 1134 1243 1148 1148 1357
"2012_6" 4 8 6 8 7 5 10 7 14 13 16 15 23 29 31 42 27 38 50 56 65 90 108 102 89 170 155 152 180 158 186 238 215 263 231 252 312 287 308 345 318 338 430 398 394 422 510 472 549 542
"2012_7" 1 1 1 0 0 1 1 1 1 0 1 6 1 2 6 3 2 8 9 4 9 15 12 5 6 13 13 15 15 21 24 31 28 30 29 42 38 38 58 59 47 40 59 68 75 76 86 116 135 149
