"Season_1" "Season_2" "Season_3" "Season_4" "Season_5"
"MidsPopG_11" NA 7.11111111111111 6 7.42857142857143 8
"MidsPopG_12.5" NA 7.33333333333333 6.33333333333333 6 NA
"MidsPopG_14" 2 6.4375 5.625 6.53333333333333 7
"MidsPopG_15.5" NA 7.28571428571429 6.4 4.25 NA
"MidsPopG_17" NA 6.47058823529412 5.53846153846154 6.53333333333333 6.33333333333333
"MidsPopG_19" NA 6 6.5 6.5 6
"MidsPopG_21" 6.33333333333333 6.6875 6.35714285714286 6.75 4.5
"MidsPopG_23" NA 5.16666666666667 5.8 6.7 2
"MidsPopG_25" 9 6.33333333333333 5.73333333333333 5.53333333333333 5
"MidsPopG_27.5" 8 6.34615384615385 5.54545454545455 5.60869565217391 7
"MidsPopG_30.5" 6 7.08333333333333 6.11764705882353 6.32 7.33333333333333
"MidsPopG_33" 1.5 6.15384615384615 5.875 6.29411764705882 8
"MidsPopG_36" 5 6.85185185185185 6.08823529411765 5.94444444444444 7
"MidsPopG_39" 5.5 6.3 5.57142857142857 6.47058823529412 10
"MidsPopG_42" NA 6.09523809523809 5.48387096774194 6.33333333333333 6.2
"MidsPopG_45.5" 6.33333333333333 6.39130434782609 5.45 6 5
"MidsPopG_49" 6.5 6.2258064516129 5.375 5.56666666666667 6.5
"MidsPopG_53" 4.4 6.39024390243902 6.23809523809524 6.05882352941176 6.5
"MidsPopG_57" NA 7.1875 5.47058823529412 5.57692307692308 10
"MidsPopG_61" 9 6.37142857142857 5.87096774193548 6.12121212121212 5.75
"MidsPopG_65" NA 6.63636363636364 6.07142857142857 6.15789473684211 5.1
"MidsPopG_69" 5 6.23076923076923 5.74074074074074 5.92857142857143 6
"MidsPopG_73.5" 4.25 6.24324324324324 5.55263157894737 5.91666666666667 7.5
"MidsPopG_78.5" 3 6.32608695652174 5.07894736842105 5.86486486486486 7.85714285714286
"MidsPopG_83.5" 5.33333333333333 6.43243243243243 5.07142857142857 6.05714285714286 4.8
"MidsPopG_89.5" 2.5 6.65217391304348 5.27083333333333 6.21428571428571 6.5
"MidsPopG_96.5" 5.5 6.91891891891892 5.61764705882353 6.11428571428571 4.16666666666667
"MidsPopG_104" 5.8 6.04347826086957 5.50980392156863 6.2 8.33333333333333
"MidsPopG_112" 5.83333333333333 6.4375 5.33333333333333 5.98076923076923 5.6
"MidsPopG_119.5" 5 6.11363636363636 5.4375 6.09523809523809 6.5
"MidsPopG_128" 6.25 5.98484848484848 5.23728813559322 5.98360655737705 5.71428571428571
"MidsPopG_137" 5.6 6.55357142857143 4.68085106382979 5.82142857142857 5.28571428571429
"MidsPopG_146" 4 6.50909090909091 5.44827586206897 5.57894736842105 8.75
"MidsPopG_155.5" 5 6.14545454545455 4.80357142857143 5.98 6.42857142857143
