"midsPop=18" "midsPop=38" "midsPop=68" "midsPop=120" "midsPop=206" "midsPop=326" "midsPop=460" "midsPop=595" "midsPop=741" "midsPop=908" "midsPop=1179" "midsPop=2180"
"month=1" NA NA NA NA NA NA NA NA NA NA NA NA
"month=2" 0.00103305785123967 0.00108225108225108 0.0021505376344086 0.00322234156820623 0.00320855614973262 0.00753498385360603 0.00753498385360603 0.00852878464818763 0.0149732620320856 0.0151515151515152 0.0139784946236559 0.0461031833150384
"month=3" 0 0.00108225108225108 0.00107642626480086 0.0032258064516129 0.00643776824034335 0.0129449838187702 0.0161637931034483 0.0213675213675214 0.0108459869848156 0.0239912758996728 0.0324324324324324 0.0543601359003398
"month=4" 0.00103305785123967 0 0.0032258064516129 0.00645161290322581 0.00538213132400431 0.00650054171180932 0.015233949945593 0.0130010834236186 0.017353579175705 0.0242557883131202 0.0264608599779493 0.0540851553509781
"month=5" 0 0.00324324324324324 0.0107758620689655 0.00323624595469256 0.0118279569892473 0.0161637931034483 0.0239390642002176 0.0290322580645161 0.0381263616557734 0.0386313465783664 0.0394304490690033 0.0702764976958525
"month=6" 0.00103412616339193 0.00216919739696312 0.001085776330076 0.00645161290322581 0.00650054171180932 0.0108695652173913 0.0197585071350165 0.0174482006543075 0.0245535714285714 0.0268456375838926 0.0334075723830735 0.0693301997649824
"month=7" 0 0.00108342361863489 0.00107758620689655 0.00539374325782093 0.00754310344827586 0.0173160173160173 0.0153005464480874 0.0302702702702703 0.0286028602860286 0.0310765815760266 0.0509413067552602 0.0564705882352941
"month=8" 0 0.00216450216450216 0 0.00539374325782093 0.0140237324703344 0.0184983677910773 0.0163398692810458 0.0208333333333333 0.0297356828193833 0.0267857142857143 0.0427927927927928 0.0544611819235226
"month=9" 0.00206611570247934 0.00108342361863489 0.00214822771213749 0.00107874865156419 0.01085776330076 0.0108932461873638 0.0184983677910773 0.0196506550218341 0.0231023102310231 0.0199556541019956 0.015625 0.0529344073647871
"month=10" 0.0020703933747412 0.00216450216450216 0.00322927879440258 0.00321888412017167 0.00324324324324324 0.0108225108225108 0.00327153762268266 0.00759219088937093 0.00984682713347921 0.0164473684210526 0.0228509249183896 0.0351473922902494
"month=11" 0 0.00108342361863489 0.0021551724137931 0.0032258064516129 0.010752688172043 0.00972972972972973 0.0139484978540773 0.0171306209850107 0.019438444924406 0.0218579234972678 0.0327868852459016 0.0625698324022346
"month=12" 0.00206611570247934 0.00108225108225108 0.00645855758880517 0.0193548387096774 0.0162513542795233 0.0172786177105832 0.0391304347826087 0.0496760259179266 0.0512540894220284 0.0607064017660044 0.0808416389811739 0.0947976878612717
"month=13" 0.0072463768115942 0.0151515151515152 0.0183783783783784 0.0262295081967213 0.0316248636859324 0.0620239390642002 0.0446927374301676 0.0770949720670391 0.0975056689342404 0.107142857142857 0.109941520467836 0.147420147420147
"month=14" 0.0197916666666667 0.0197585071350165 0.0427631578947368 0.065410199556541 0.116926503340757 0.166284403669725 0.197263397947548 0.261484098939929 0.352579852579853 0.387626262626263 0.394472361809045 0.435082872928177
"month=15" 0.0265111346765642 0.0455555555555556 0.085972850678733 0.152122641509434 0.22069825436409 0.279255319148936 0.400837988826816 0.427018633540373 0.494505494505495 0.492094861660079 0.509054325955734 0.468235294117647
"month=16" 0.0323624595469256 0.0644418872266974 0.140073081607795 0.137651821862348 0.213846153846154 0.332161687170475 0.422319474835886 0.486352357320099 0.527868852459016 0.5 0.507575757575758 0.424489795918367
"month=17" 0.0239912758996728 0.0239808153477218 0.0522088353413655 0.098981077147016 0.0961538461538462 0.16743119266055 0.261829652996845 0.195918367346939 0.231182795698925 0.265625 0.231707317073171 0.127777777777778
"month=18" 0.00972972972972973 0.0046242774566474 0.0174346201743462 0.0237430167597765 0.0341085271317829 0.0513833992094862 0.0616966580976864 0.0537634408602151 0.0620915032679739 0.0947368421052632 0.0509090909090909 0.0581818181818182
"month=19" 0.00317124735729387 0.00556792873051225 0.00569476082004556 0.0106635071090047 0.0115089514066496 0.0149253731343284 0.02 0.0320610687022901 0.0175131348511384 0.0297202797202797 0.0482142857142857 0.0271317829457364
"month=20" 0.00208333333333333 0.00326797385620915 0.0119565217391304 0.0143964562569214 0.0112994350282486 0.021566401816118 0.0287425149700599 0.0409638554216867 0.0327272727272727 0.0368550368550369 0.0454545454545455 0.0401554404145078
"month=21" 0.004149377593361 0.00434782608695652 0.0108695652173913 0.0153508771929825 0.019845644983462 0.0301339285714286 0.0285062713797035 0.0458190148911798 0.0416666666666667 0.0442890442890443 0.0577830188679245 0.0502994011976048
"month=22" 0.00311203319502075 0.00434782608695652 0.0152173913043478 0.0317286652078775 0.0220264317180617 0.0413870246085011 0.0592841163310962 0.0668176670441676 0.0766590389016018 0.0764774044032445 0.115566037735849 0.139479905437352
"month=23" 0.00622406639004149 0.00761697497279652 0.0142387732749179 0.0233592880978865 0.0476190476190476 0.0580204778156997 0.0724971231300345 0.0818915801614764 0.113879003558719 0.123501199040767 0.162878787878788 0.18798955613577
