"midsPop=12" "midsPop=14" "midsPop=18" "midsPop=22" "midsPop=26" "midsPop=32" "midsPop=37" "midsPop=44" "midsPop=51" "midsPop=59" "midsPop=67" "midsPop=76" "midsPop=87" "midsPop=100" "midsPop=116" "midsPop=132" "midsPop=150" "midsPop=170" "midsPop=194" "midsPop=221" "midsPop=248" "midsPop=278" "midsPop=311" "midsPop=345" "midsPop=378" "midsPop=408" "midsPop=439" "midsPop=472" "midsPop=505" "midsPop=538" "midsPop=572" "midsPop=604" "midsPop=636" "midsPop=670" "midsPop=706" "midsPop=742" "midsPop=778" "midsPop=817" "midsPop=856" "midsPop=896" "midsPop=941" "midsPop=991" "midsPop=1049" "midsPop=1119" "midsPop=1206" "midsPop=1316" "midsPop=1470" "midsPop=1709" "midsPop=2127" "midsPop=2699"
"month=1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"month=2" 0 0.00469483568075117 0 0 0 0.00510204081632653 0 0 0 0 0 0.00840336134453781 0.00947867298578199 0.00448430493273543 0 0 0 0.00452488687782805 0 0.00440528634361234 0.00446428571428571 0 0.00448430493273543 0.0135746606334842 0.0132743362831858 0.00452488687782805 0 0.0132743362831858 0.0135746606334842 0.013215859030837 0.0043859649122807 0.00925925925925926 0.00896860986547085 0.0043859649122807 0.0043859649122807 0.0184331797235023 0.0265486725663717 0.0177777777777778 0.0131578947368421 0.0230414746543779 0.00896860986547085 0.0134529147982063 0.00892857142857143 0.0176211453744493 0.0181818181818182 0.0182648401826484 0.0265486725663717 0.0407239819004525 0.0458715596330275 0.0707547169811321
"month=3" 0 0 0 0 0 0 0 0.00440528634361234 0.00409836065573771 0 0 0 0 0.0045045045045045 0.00458715596330275 0 0.00431034482758621 0.00909090909090909 0.00446428571428571 0 0.0134529147982063 0.0223214285714286 0.00896860986547085 0.0136986301369863 0.00892857142857143 0.0135746606334842 0.0222222222222222 0.0133928571428571 0.0136986301369863 0.0265486725663717 0.0174672489082969 0.0233644859813084 0.0134529147982063 0.0219298245614035 0.013215859030837 0.00934579439252336 0.00909090909090909 0.0135135135135135 0.0220264317180617 0.0233644859813084 0.0316742081447964 0.0225225225225225 0.0134529147982063 0.03125 0.055045871559633 0.0316742081447964 0.0497737556561086 0.0373831775700935 0.0613207547169811 0.0742574257425743
"month=4" 0 0 0 0.00478468899521531 0 0 0 0 0.00411522633744856 0 0 0 0.00943396226415094 0 0.00460829493087558 0.00888888888888889 0.012987012987013 0 0.00896860986547085 0.00440528634361234 0.00904977375565611 0.0045662100456621 0.0045045045045045 0.0091324200913242 0.00884955752212389 0.0182648401826484 0.00909090909090909 0.00892857142857143 0.0275229357798165 0.00448430493273543 0.0221238938053097 0.0142857142857143 0.00900900900900901 0.0133928571428571 0.00892857142857143 0.00930232558139535 0.0223214285714286 0.0361990950226244 0.0444444444444444 0.0233644859813084 0.0186046511627907 0.0045662100456621 0.036036036036036 0.0271493212669683 0.019047619047619 0.0277777777777778 0.0325581395348837 0.0469483568075117 0.0817307692307692 0.0603015075376884
"month=5" 0 0 0 0 0 0 0.0133333333333333 0 0.0164609053497942 0 0.0045045045045045 0.00836820083682008 0.019047619047619 0 0.00460829493087558 0.00448430493273543 0.00873362445414847 0.00452488687782805 0.00900900900900901 0.0176991150442478 0.018018018018018 0.0224215246636771 0.00900900900900901 0.0181818181818182 0.00884955752212389 0.018348623853211 0.031390134529148 0.0222222222222222 0.0233644859813084 0.0394736842105263 0.0266666666666667 0.018957345971564 0.0179372197309417 0.0309734513274336 0.0442477876106195 0.0372093023255814 0.0452488687782805 0.0276497695852535 0.0410958904109589 0.0469483568075117 0.0321100917431193 0.0401785714285714 0.0368663594470046 0.036036036036036 0.0506912442396313 0.036697247706422 0.055045871559633 0.0619047619047619 0.0591133004926108 0.118226600985222
"month=6" 0 0 0 0.00480769230769231 0 0.0050761421319797 0.0045045045045045 0 0 0 0 0.00421940928270042 0 0.00448430493273543 0.00921658986175115 0.0133928571428571 0.00434782608695652 0 0.00900900900900901 0.00448430493273543 0.0091324200913242 0.0045662100456621 0.00900900900900901 0.00917431192660551 0.0221238938053097 0.0229357798165138 0.018348623853211 0.0135135135135135 0.027906976744186 0.00909090909090909 0.0223214285714286 0.0235849056603774 0.0135746606334842 0.0271493212669683 0.00921658986175115 0.019047619047619 0.037037037037037 0.0184331797235023 0.0182648401826484 0.0191387559808612 0.0509259259259259 0.0231481481481481 0.032258064516129 0.0365296803652968 0.0142857142857143 0.0560747663551402 0.0697674418604651 0.058252427184466 0.0585365853658537 0.1
"month=7" 0 0 0 0 0 0 0 0.00440528634361234 0 0 0 0.00421940928270042 0 0.0135135135135135 0 0.00900900900900901 0 0.0135746606334842 0.00900900900900901 0.00884955752212389 0.00452488687782805 0.0045045045045045 0.0225225225225225 0.0227272727272727 0.0179372197309417 0 0.0272727272727273 0.0223214285714286 0.00930232558139535 0.0220264317180617 0.0488888888888889 0.0238095238095238 0.0271493212669683 0.0271493212669683 0.0309734513274336 0.028169014084507 0.0276497695852535 0.0227272727272727 0.0178571428571429 0.0377358490566038 0.028436018957346 0.0590909090909091 0.0276497695852535 0.0412844036697248 0.0642201834862385 0.0616113744075829 0.0473933649289099 0.0585365853658537 0.0588235294117647 0.0663265306122449
"month=8" 0 0 0 0 0.00413223140495868 0 0 0 0.00409836065573771 0 0 0 0 0.00454545454545455 0.00917431192660551 0.0045045045045045 0.00431034482758621 0.00917431192660551 0.00900900900900901 0.0222222222222222 0.018018018018018 0.0134529147982063 0.0228310502283105 0.0276497695852535 0.0133928571428571 0.018018018018018 0.0228310502283105 0.0136363636363636 0.0136986301369863 0.0134529147982063 0.0273972602739726 0.00952380952380952 0.0276497695852535 0.0224215246636771 0.0407239819004525 0.033175355450237 0.0273972602739726 0.0316742081447964 0.0223214285714286 0.0288461538461538 0.0232558139534884 0.0283018867924528 0.0509259259259259 0.0458715596330275 0.0432692307692308 0.0424528301886792 0.0280373831775701 0.0485436893203883 0.072463768115942 0.0597014925373134
"month=9" 0 0 0 0.00478468899521531 0.004149377593361 0 0 0.00440528634361234 0 0.00465116279069767 0 0 0.00471698113207547 0.0045045045045045 0 0 0 0.0137614678899083 0.018018018018018 0 0.0181818181818182 0.00904977375565611 0.0136986301369863 0.00925925925925926 0.00888888888888889 0.0275229357798165 0.0181818181818182 0.0178571428571429 0.0137614678899083 0.0176991150442478 0.00909090909090909 0.0283018867924528 0.0138888888888889 0.0267857142857143 0.0182648401826484 0.028436018957346 0.0318181818181818 0.0091324200913242 0.027027027027027 0.0235849056603774 0.0275229357798165 0 0.0140845070422535 0.00917431192660551 0.0238095238095238 0.0277777777777778 0.037037037037037 0.042654028436019 0.0628019323671498 0.0689655172413793
"month=10" 0 0 0.00431034482758621 0.00480769230769231 0 0.0050761421319797 0 0.00442477876106195 0 0.00467289719626168 0 0.00836820083682008 0 0 0 0.0133333333333333 0 0.00917431192660551 0 0 0.00454545454545455 0.00904977375565611 0.0135746606334842 0.00909090909090909 0.0132743362831858 0 0 0.00448430493273543 0.00917431192660551 0.00888888888888889 0.0087719298245614 0.00476190476190476 0 0.018018018018018 0.0133928571428571 0.00947867298578199 0.0045662100456621 0.0223214285714286 0.00892857142857143 0.014018691588785 0.0230414746543779 0.00892857142857143 0.0135746606334842 0.0267857142857143 0.0186046511627907 0.0410958904109589 0.0365296803652968 0.0373831775700935 0.0330188679245283 0.0295566502463054
