"pop=11" "pop=12.5" "pop=14" "pop=15.5" "pop=17" "pop=19" "pop=21" "pop=23" "pop=25" "pop=27.5" "pop=30.5" "pop=33" "pop=36" "pop=39" "pop=42" "pop=45.5" "pop=49" "pop=53" "pop=57" "pop=61" "pop=65" "pop=69" "pop=73.5" "pop=78.5" "pop=83.5" "pop=89.5" "pop=96.5" "pop=104" "pop=112" "pop=119.5" "pop=128" "pop=137" "pop=146" "pop=155.5" "pop=165" "pop=175.5" "pop=187" "pop=200" "pop=214.5" "pop=228.5" "pop=241.5" "pop=255" "pop=269.89" "pop=285.89" "pop=302.5" "pop=319.5" "pop=336.5" "pop=353.54" "pop=370.54" "pop=386" "pop=400" "pop=414.5" "pop=431" "pop=448" "pop=463.5" "pop=479.5" "pop=496.5" "pop=513.34" "pop=529.34" "pop=546" "pop=563" "pop=579.5" "pop=597" "pop=613.22" "pop=628.72" "pop=644.68" "pop=661.68" "pop=679" "pop=696.5" "pop=715.5" "pop=733.5" "pop=750.56" "pop=769.06" "pop=788" "pop=807.5" "pop=827.5" "pop=846" "pop=865" "pop=884.5" "pop=906" "pop=930.5" "pop=953.360000000001" "pop=976.360000000001" "pop=1003.82" "pop=1034.32" "pop=1064.28" "pop=1096.79" "pop=1137.01" "pop=1180.5" "pop=1227.2" "pop=1284.63" "pop=1348.09" "pop=1422.16" "pop=1512.5" "pop=1622" "pop=1770.58" "pop=1957.39" "pop=2227.43" "pop=2695.82999999999" "pop=5787.20999999999"
12 13 15 16 18 19 22 24 25 29 30 33 38 40 44 45 48 52 58 60 66 71 76 78 83 92 99 108 110 119 124 135 150 158 170 171 191 202 222 234 241 250 272 282 301 316 340 358 365 385 397 421 436 450 462 480 495 517 524 548 558 581 605 617 626 652 669 675 696 721 738 757 776 795 816 837 846 875 886 897 940 953 981 992 1050 1055 1115 1117 1198 1221 1263 1322 1424 1539 1643 1836 1894 2100 2683 3218
12 13 15 16 17 19 22 23 25 29 30 33 35 40 43 46 51 53 59 62 67 68 74 80 84 87 98 104 112 122 130 141 148 156 165 171 193 204 212 232 248 261 265 289 308 319 332 361 368 391 404 419 432 442 470 481 498 512 531 549 571 572 602 613 623 638 665 681 694 716 741 758 771 780 810 833 854 857 881 896 940 945 976 1012 1035 1060 1104 1128 1187 1203 1257 1342 1465 1509 1563 1714 1876 2394 2591 3080
12 13 15 16 18 19 21 24 25 27 32 34 35 39 41 47 49 54 59 60 67 69 73 77 82 90 100 101 116 121 124 134 143 154 166 171 193 200 208 233 247 262 268 289 302 326 331 351 369 390 394 419 423 456 466 483 503 519 532 546 561 586 589 618 636 645 659 673 693 707 737 756 771 788 801 822 842 856 878 914 941 954 978 1014 1043 1063 1080 1141 1164 1208 1291 1361 1418 1503 1629 1781 1981 2059 2450 3023
12 13 14 16 17 19 22 23 25 29 31 34 35 40 41 47 50 52 57 62 66 69 76 81 83 89 95 104 109 120 128 137 151 157 163 177 189 206 213 232 246 258 275 289 311 314 341 348 373 382 404 417 434 455 462 478 505 520 532 546 556 588 592 618 623 645 658 680 700 714 741 748 762 784 809 836 840 865 876 918 926 961 987 1011 1030 1073 1098 1140 1193 1215 1281 1342 1461 1479 1645 1707 1904 2295 2751 3239
12 13 15 16 18 19 22 23 26 28 32 34 35 40 41 45 51 52 59 60 65 70 72 79 85 88 100 101 114 121 125 138 144 159 163 175 187 204 211 228 245 256 266 284 298 328 340 360 379 380 396 409 424 454 465 478 489 514 527 555 561 579 589 614 622 640 659 676 702 725 731 743 773 792 807 830 849 875 878 910 942 950 972 1015 1045 1062 1109 1133 1186 1209 1284 1338 1388 1547 1630 1686 1901 2200 2910 3005
11 13 14 16 18 19 22 24 26 28 32 33 36 40 42 45 50 54 59 62 65 69 72 78 84 92 94 101 113 122 132 141 143 158 161 176 182 194 210 231 236 254 271 281 311 327 341 361 375 387 405 420 439 456 469 479 500 507 537 554 557 574 600 618 632 642 664 682 696 720 732 757 768 780 818 830 851 857 884 916 921 955 977 991 1046 1058 1085 1140 1179 1249 1304 1363 1444 1549 1628 1750 1863 2095 2503 4828
11 13 15 16 18 19 21 24 25 27 31 33 37 39 44 47 49 55 59 61 66 70 74 78 82 89 94 104 113 121 133 138 149 156 165 174 189 202 221 225 239 260 266 278 304 316 332 349 367 392 397 414 423 445 465 476 490 521 526 539 562 587 599 614 635 644 669 678 706 717 736 744 771 791 802 819 839 869 879 915 936 958 973 1015 1044 1055 1087 1158 1191 1244 1290 1362 1382 1510 1577 1824 1959 2141 2412 3968
11 13 15 16 17 19 22 23 25 28 32 34 38 39 42 46 50 54 58 62 66 71 76 79 83 89 95 104 116 123 126 139 144 158 166 173 187 194 219 224 246 259 271 287 311 314 329 354 377 385 405 413 423 449 470 473 494 513 537 547 559 581 605 609 632 652 658 687 705 712 736 748 768 787 805 824 855 872 887 918 931 959 976 1018 1042 1072 1108 1120 1162 1239 1278 1330 1428 1497 1562 1685 1883 2372 2982 7533
11 13 14 16 18 20 22 24 25 28 32 33 37 39 41 47 49 52 58 61 66 70 74 81 82 93 100 107 114 122 127 137 151 154 167 180 187 204 218 228 243 253 271 284 308 314 337 347 374 383 406 409 438 444 468 475 496 519 535 541 567 577 601 608 632 649 661 677 706 719 735 754 760 787 807 833 854 869 888 906 928 962 974 990 1042 1051 1103 1135 1171 1243 1265 1321 1435 1516 1583 1773 1978 2103 2515 4740
12 13 14 16 17 19 21 24 25 28 31 33 35 39 43 45 49 53 57 61 66 71 72 78 86 93 95 101 116 117 130 141 147 155 162 173 191 207 209 225 244 250 277 279 302 323 330 362 364 387 403 419 429 448 461 474 493 512 524 550 570 581 601 610 621 644 660 685 694 708 732 745 779 796 814 835 843 859 893 903 921 951 966 995 1032 1074 1090 1133 1182 1205 1266 1359 1400 1491 1624 1750 1932 2392 2678 3948
12 13 15 16 17 19 21 23 25 27 32 34 38 40 41 46 51 54 57 62 67 71 74 79 85 91 94 108 116 120 124 139 145 160 162 173 190 205 214 223 244 251 272 278 298 325 345 362 370 390 403 411 427 453 467 474 490 508 533 551 565 585 602 617 627 641 662 677 696 708 737 755 770 783 811 829 840 875 890 897 931 954 988 1004 1033 1072 1108 1130 1202 1238 1303 1368 1459 1505 1647 1816 1873 2096 2661 5704
12 13 14 16 17 19 21 23 26 27 30 33 37 40 42 46 49 53 56 62 64 70 72 81 84 89 96 102 109 118 126 135 150 158 164 171 184 198 221 230 236 258 275 288 295 315 332 362 369 382 399 410 426 447 457 487 503 509 526 548 564 586 604 619 625 643 664 683 698 714 742 750 760 792 798 830 839 873 889 909 937 955 978 1018 1031 1060 1094 1123 1182 1241 1302 1362 1425 1474 1646 1810 2035 2346 2456 5814
11 13 14 16 17 19 21 24 26 28 30 34 37 39 41 46 49 54 56 60 66 71 75 78 83 91 95 108 111 118 124 140 150 152 168 173 186 195 218 227 242 258 274 292 303 314 336 346 375 390 402 413 437 456 469 479 490 507 537 547 561 577 606 618 635 643 668 685 698 720 735 753 765 785 810 820 840 862 878 915 935 958 969 994 1038 1053 1106 1145 1185 1250 1303 1358 1382 1479 1622 1720 2014 2209 2822 5024
12 13 14 16 18 20 22 23 25 28 32 33 36 39 44 46 48 55 56 63 66 68 74 81 84 88 96 103 109 123 133 136 151 160 165 171 186 194 212 226 247 259 266 289 306 327 333 359 365 386 402 413 427 450 464 484 502 517 523 554 564 584 604 614 634 640 656 684 694 725 742 758 760 788 801 822 853 869 887 911 936 963 988 1011 1028 1052 1095 1137 1175 1228 1253 1319 1441 1486 1616 1688 1984 2119 2719 5119
12 13 15 16 17 20 21 24 25 29 32 34 37 40 41 46 49 53 57 62 66 70 74 81 85 87 100 104 116 117 131 136 148 152 170 179 192 207 211 226 248 256 276 284 298 319 329 350 364 389 400 410 433 456 461 473 504 510 526 555 556 585 591 609 633 648 660 672 699 717 735 748 773 797 800 826 840 856 891 899 939 957 988 1009 1022 1060 1111 1144 1174 1250 1286 1350 1421 1497 1583 1699 1981 2142 2639 6295
11 13 15 16 18 20 21 24 26 27 32 33 38 39 42 45 51 53 56 63 67 70 73 78 84 88 100 106 116 120 129 139 143 152 169 181 182 198 222 232 236 255 268 287 297 328 344 348 379 384 402 411 436 441 462 488 493 516 528 548 569 587 604 616 627 638 668 673 688 707 735 744 771 784 804 820 841 858 888 902 921 961 986 1015 1030 1060 1095 1135 1195 1243 1302 1354 1459 1537 1602 1728 1867 2059 2501 3129
12 13 15 16 17 19 22 23 26 27 32 33 38 39 43 45 48 53 59 61 65 71 72 80 86 89 98 103 115 121 125 140 147 159 165 173 186 198 218 235 240 262 264 284 310 322 339 349 364 382 406 420 423 449 471 477 492 517 537 554 561 577 598 613 627 642 660 683 696 721 727 753 772 787 798 819 839 866 893 907 931 961 983 998 1048 1073 1110 1124 1190 1231 1306 1364 1421 1501 1612 1690 1998 2371 2523 3512
11 13 14 16 18 20 21 23 26 28 30 33 35 40 42 45 49 54 57 62 66 70 74 79 85 91 97 107 109 122 127 135 143 155 163 178 189 194 211 226 238 260 277 281 297 314 344 349 367 389 405 419 433 449 468 474 496 517 522 543 557 587 603 612 630 646 658 673 702 723 727 745 760 782 803 837 847 867 876 903 941 951 978 1005 1021 1067 1081 1157 1166 1215 1275 1365 1403 1525 1628 1823 1993 2281 2916 3344
11 13 15 16 17 20 22 23 26 27 30 33 37 39 42 47 50 53 57 63 67 70 75 77 82 91 99 108 116 118 133 135 147 158 162 176 182 203 222 223 242 249 273 286 311 322 339 361 376 387 398 415 425 444 471 484 491 518 529 553 561 587 599 610 630 652 664 682 699 721 740 757 779 784 809 835 853 873 894 918 939 945 971 1002 1027 1054 1103 1124 1200 1242 1265 1335 1428 1472 1573 1804 1904 2318 2614 4024
12 13 14 16 17 19 22 24 25 27 30 33 38 39 43 47 50 53 57 63 64 71 73 78 82 92 98 107 115 118 127 141 148 155 170 171 182 206 214 224 238 249 265 289 302 312 344 357 375 381 405 408 440 448 464 485 495 515 536 542 556 581 601 619 621 650 657 683 704 715 737 743 773 785 811 823 842 857 893 904 928 959 972 994 1042 1070 1085 1158 1165 1251 1300 1320 1444 1493 1625 1690 1894 2225 2872 3456
12 13 14 16 17 19 22 24 25 28 30 33 38 40 42 47 51 53 58 61 64 70 75 78 86 93 94 108 109 122 130 137 148 152 170 181 184 198 208 230 248 258 269 278 308 321 336 352 367 386 399 422 440 451 469 477 492 507 524 542 569 587 595 609 634 646 658 682 698 707 733 744 763 790 815 820 854 869 891 907 936 957 989 1000 1026 1077 1100 1133 1166 1228 1261 1339 1404 1513 1626 1808 1894 2396 2575 3802
12 13 15 16 17 20 21 24 25 28 30 33 35 39 44 45 50 55 57 63 66 70 74 77 84 90 96 108 112 119 129 140 149 160 166 178 184 195 222 226 236 250 273 289 311 314 340 354 374 391 403 419 424 449 466 478 505 516 531 539 568 581 599 619 627 641 656 677 701 708 735 749 771 786 800 831 842 859 878 918 919 951 965 1014 1050 1052 1084 1159 1164 1245 1272 1324 1434 1500 1650 1706 2013 2396 2961 4418
11 13 15 16 18 19 21 24 25 29 30 34 36 39 44 46 51 54 59 60 67 68 74 77 86 88 99 104 111 120 128 136 151 159 170 177 193 195 211 233 241 253 273 290 310 314 335 350 366 382 406 409 436 444 458 481 500 517 535 543 568 575 603 615 630 642 668 680 697 707 735 746 768 781 815 825 849 875 891 905 934 953 980 1009 1033 1066 1079 1133 1185 1215 1313 1342 1416 1473 1654 1837 1950 2201 2660 5396
11 13 14 16 18 19 21 24 26 28 31 34 36 40 41 47 48 53 56 63 66 69 75 77 82 92 98 103 113 121 127 137 147 155 164 171 191 197 209 223 237 255 267 288 309 328 331 352 375 390 403 411 437 443 464 482 491 507 533 543 561 584 599 618 621 646 656 684 699 709 739 755 762 788 798 820 849 859 887 902 921 950 973 1013 1027 1052 1110 1147 1169 1245 1262 1344 1409 1559 1671 1772 1904 2198 2497 3514
