"pop=17.5" "pop=37.5" "pop=68" "pop=120" "pop=206" "pop=325.5" "pop=459.5" "pop=595" "pop=741" "pop=908" "pop=1179" "pop=4970"
24 29 52 119 158 365 397 558 696 886 1055 1539
18 40 58 135 156 385 524 652 757 837 1198 1643
12 48 51 92 222 358 404 626 675 897 1322 1836
12 33 59 150 202 340 517 571 795 896 1117 1424
23 45 66 141 170 316 421 638 758 875 1115 1465
13 49 78 148 191 368 394 548 776 846 1187 1418
12 44 53 134 193 332 419 581 816 914 1164 1361
12 43 54 122 204 282 404 572 721 940 1012 1563
13 30 80 87 234 301 450 531 694 940 1193 1461
12 29 76 110 157 391 419 532 738 953 1186 1388
11 46 77 121 250 308 512 532 756 881 1104 1894
17 38 67 112 171 319 519 527 771 854 1128 1629
19 41 81 154 212 361 417 605 780 992 1221 2100
11 27 83 137 241 302 442 645 669 945 1050 2394
13 29 74 90 232 272 462 623 771 878 1060 1876
11 50 71 89 208 331 495 537 693 876 1063 1714
15 47 84 99 233 326 436 586 810 981 1203 1781
13 41 59 120 159 369 396 636 741 857 1141 1707
15 26 57 98 213 311 409 561 681 918 1014 1981
13 47 67 88 158 351 420 549 762 833 1208 1645
15 40 59 124 156 289 520 623 700 878 1035 1630
25 41 59 92 258 373 470 537 673 941 1043 1509
25 30 82 121 165 314 480 645 680 856 1011 1363
22 28 83 100 248 289 481 640 716 842 1140 1686
25 50 73 89 256 289 483 642 801 865 1015 1750
16 28 51 138 166 298 456 535 707 926 1030 1503
11 35 79 130 211 284 466 588 714 910 1073 1444
18 45 85 124 232 348 405 622 665 840 1179 1362
12 32 52 143 158 379 455 632 809 976 1133 1479
19 35 52 128 247 261 432 546 702 954 1045 1628
14 31 76 151 171 341 454 644 725 978 1140 1824
17 42 84 108 163 390 397 546 773 875 1046 2683
19 27 68 116 228 360 456 579 720 857 1191 1547
22 44 72 104 171 328 478 555 717 942 1158 2059
21 49 72 154 231 262 445 556 676 916 1342 3218
15 26 82 141 246 375 498 574 748 987 1162 1904
24 39 74 109 177 361 405 554 743 869 1062 1549
22 28 59 144 200 265 526 652 712 822 1058 1577
18 33 58 101 193 349 414 649 682 884 1055 1562
18 28 66 138 245 281 514 602 807 849 1015 1510
12 45 65 143 210 278 406 539 737 836 1072 1382
25 42 54 125 236 287 503 617 719 915 1018 1428
18 35 58 132 239 367 462 561 818 918 1080 1497
19 34 69 133 163 382 478 587 757 879 1044 1901
19 35 78 149 175 354 479 581 678 921 1004 1368
12 40 57 139 225 340 505 659 708 972 1042 1362
22 32 65 144 221 347 489 644 696 887 1215 1435
22 41 55 151 246 377 500 613 788 872 1098 1400
23 43 57 147 206 341 423 533 784 830 1263 1516
16 36 60 126 204 362 490 618 802 851 1042 1863
13 50 62 95 254 332 507 577 708 936 1051 1583
17 34 78 89 176 380 413 547 714 906 1109 1624
25 34 60 104 219 387 494 658 792 830 1085 1959
18 37 56 122 224 284 409 541 687 819 1257 1491
25 38 69 121 174 311 434 557 768 977 1032 1459
23 28 70 114 194 279 403 618 805 824 1033 1425
17 27 62 100 202 327 465 614 741 888 1031 1647
14 32 54 123 243 329 424 581 744 961 1074 1505
19 27 69 113 155 316 521 618 771 973 1018 1474
11 28 76 145 218 314 419 585 706 833 1087 1646
19 33 66 122 253 337 476 635 731 893 1209 3080
25 41 66 150 161 278 411 659 677 839 1038 1622
24 40 56 127 209 288 449 589 720 931 1108 1479
19 47 79 130 165 304 410 550 685 991 1011 1382
21 42 60 150 194 362 496 537 705 950 1291 1486
24 28 56 101 189 314 493 551 677 835 1120 2591
12 41 52 151 204 362 444 641 706 855 1171 2450
12 33 62 148 250 346 490 562 683 829 1182 3023
23 31 53 143 214 323 413 548 685 976 1135 1441
16 29 83 124 187 325 439 614 807 928 1342 1883
17 26 66 137 166 292 513 559 780 974 1009 1497
13 46 66 113 173 374 503 632 684 869 1249 1537
20 27 81 101 167 392 403 567 768 966 1281 1978
19 49 82 147 162 315 399 592 672 903 1015 1932
15 27 70 126 207 359 490 586 814 921 1284 2295
11 28 74 124 244 260 423 570 694 854 1338 1421
12 40 54 133 251 350 448 589 725 931 1244 1873
22 34 78 117 162 268 413 609 732 859 1202 1685
24 26 57 143 244 348 402 547 736 937 1103 1459
13 47 53 147 228 330 423 600 736 897 1090 1364
11 45 56 120 164 289 524 608 696 843 1182 1365
25 39 67 93 236 311 502 610 669 909 1330 1421
15 27 61 104 205 349 410 643 811 935 1072 2035
11 32 79 141 258 308 469 565 798 915 1028 2751
22 46 71 104 198 385 453 528 810 840 1108 1501
24 37 54 131 180 383 447 537 760 955 1321 1773
19 32 64 148 168 302 438 577 801 875 1133 2200
25 35 55 93 173 259 465 599 717 990 1094 1616
19 39 81 94 225 275 411 632 791 995 1130 1525
13 27 53 91 223 266 504 554 735 958 1185 2014
14 38 62 118 230 314 473 621 779 988 1304 2095
17 46 53 118 182 284 429 584 748 873 1239 2141
16 37 66 123 221 287 526 555 673 839 1175 2910
23 28 78 89 218 387 427 617 707 911 1060 1403
17 39 86 94 212 349 402 664 732 862 1290 1428
18 49 61 116 173 271 456 643 683 959 1106 1984
12 44 59 107 160 364 420 564 698 869 1005 2503
16 26 66 101 258 298 475 548 721 840 1278 2372
16 26 53 114 195 345 470 640 754 853 1359 1444
12 39 72 117 194 284 419 561 723 890 1243 1750
21 37 81 108 165 295 474 648 698 856 1205 1404
21 41 57 129 211 266 400 529 787 889 1053 1981
17 42 66 95 170 332 519 638 673 840 1174 1434
18 28 54 91 171 336 512 585 694 841 1123 1867
12 26 74 139 169 327 450 564 745 899 1265 2103
21 33 61 120 158 303 468 627 770 936 1195 1998
17 33 53 88 222 370 474 587 800 858 1190 1472
11 46 67 102 218 369 493 577 760 939 1166 1816
21 34 70 87 207 306 523 556 699 878 1266 1493
14 46 85 88 173 361 415 554 737 962 1303 1416
25 36 62 148 242 271 456 605 804 887 1238 1993
15 40 81 121 227 271 408 536 765 830 1241 1583
22 46 72 135 165 298 441 625 755 921 1250 2412
14 49 65 89 198 297 487 543 798 978 1095 1904
21 33 66 91 163 390 422 553 803 994 1302 1894
14 45 53 140 198 382 479 587 750 969 1303 1409
25 45 78 152 194 333 426 601 688 988 1111 1810
19 45 75 149 247 281 437 601 753 891 1052 1421
18 37 57 151 162 319 402 635 787 866 1060 1720
21 31 53 136 171 277 427 619 682 820 1253 1513
13 38 55 116 256 328 406 531 696 867 1286 1894
22 38 67 122 179 310 508 634 668 951 1228 1602
11 43 84 108 255 297 461 633 683 873 1302 1390
16 49 64 103 211 375 526 587 796 931 1022 2013
17 34 64 118 189 272 433 618 783 954 1306 2392
17 40 74 125 170 286 419 614 809 839 1250 3239
23 35 80 104 203 275 492 602 758 888 1060 1500
11 37 71 91 187 322 496 569 702 822 1243 1429
21 39 62 118 206 365 436 642 760 902 1002 1612
12 39 60 106 160 274 449 604 721 893 1231 1384
17 40 83 122 187 314 449 627 773 955 1358 1688
16 38 84 136 198 289 409 542 682 998 1319 1699
22 42 71 139 248 278 405 658 771 876 1073 1473
12 26 63 103 222 357 411 609 677 847 1215 1364
17 32 57 107 236 329 422 535 715 894 1030 1950
11 42 54 152 195 344 509 561 792 826 1275 1728
14 38 79 100 240 259 507 661 699 820 1145 1444
20 39 85 147 238 289 423 616 785 819 1200 1628
13 30 58 108 242 339 433 660 788 958 1265 2096
22 48 74 147 249 364 517 542 668 893 1242 1573
12 29 62 127 249 311 467 662 707 853 1067 1559
13 28 53 133 181 352 510 613 708 907 1137 1690
18 30 77 152 191 302 491 646 797 837 1095 1625
11 49 78 127 238 290 484 627 704 842 1300 2982
13 39 84 92 214 344 495 652 707 903 1251 2346
16 43 57 95 208 390 457 557 709 963 1048 1904
15 35 51 116 170 262 522 630 712 918 1054 1443
18 47 66 107 222 260 473 664 748 957 1228 1883
22 40 54 140 211 339 516 630 744 835 1070 1823
24 36 78 94 258 308 469 650 753 988 1261 1976
23 36 86 108 209 386 492 539 745 941 1110 1367
18 33 63 135 159 389 444 621 742 986 1350 1626
12 32 67 152 219 322 517 646 772 961 1021 1804
24 29 85 93 248 266 409 561 760 891 1077 1489
11 32 73 130 155 311 412 612 680 961 1052 1690
16 32 66 119 236 354 505 641 735 823 1081 1808
13 48 70 147 158 344 517 606 698 820 1103 1650
17 47 54 120 173 312 422 604 725 939 1027 1654
15 27 59 90 250 379 398 610 725 951 1000 1389
20 42 64 96 155 310 448 591 701 854 1066 1671
24 39 61 129 166 384 425 543 779 928 1245 1654
13 44 56 109 226 288 500 634 697 842 1052 1383
20 34 77 108 216 350 518 656 684 878 1042 2000
15 49 62 128 217 364 488 619 811 857 1056 1560
23 44 82 111 178 276 464 627 742 936 1354 1966
19 41 54 88 214 336 416 581 735 849 1144 1916
11 47 82 153 160 382 515 609 699 904 1085 1899
14 28 63 127 195 278 405 642 757 891 1100 1467
15 32 72 121 253 352 399 587 698 887 1051 1536
13 39 56 95 190 321 524 660 674 919 1014 2209
23 45 71 123 159 268 461 630 668 849 1069 1922
16 50 86 96 226 285 507 621 687 884 1078 1399
23 30 63 151 197 264 440 619 815 907 1026 1437
12 27 74 104 232 340 491 604 735 934 1165 1477
16 30 68 109 203 389 477 598 680 983 1166 1706
21 50 65 103 255 335 494 603 705 869 1164 1413
13 43 52 117 155 277 451 646 727 853 1084 2119
24 27 77 142 184 314 462 533 800 847 1135 2515
14 30 64 122 186 273 474 529 727 859 1050 2678
20 30 61 145 159 289 403 581 815 875 1009 1837
11 30 58 116 241 331 502 638 686 831 1033 1608
14 35 56 130 186 387 484 543 677 978 1027 1895
15 36 65 121 237 309 406 556 784 918 1215 2142
12 40 59 118 192 299 485 629 787 921 1077 1374
11 44 75 119 251 381 471 599 669 859 1062 1504
15 50 51 116 235 354 516 569 798 971 1245 1578
17 27 70 107 182 260 496 550 710 825 1205 1387
11 30 73 104 186 344 419 601 740 972 1335 1378
20 39 70 154 253 265 477 568 773 929 1079 1467
17 38 59 125 220 297 408 533 782 820 1040 1926
21 36 84 92 170 367 468 595 763 873 1024 1465
24 46 77 104 164 314 478 615 784 827 1124 1497
16 36 78 135 189 328 403 599 671 994 1035 2059
18 31 65 152 176 280 421 568 737 835 1110 2661
16 36 75 101 160 355 471 618 785 831 1013 1999
25 48 57 147 214 278 440 575 693 989 1185 1915
