"pop=13" "pop=20" "pop=29" "pop=40.5" "pop=55" "pop=72" "pop=94.5" "pop=124.5" "pop=161" "pop=208" "pop=264.5" "pop=328.04" "pop=392.04" "pop=455" "pop=521.5" "pop=587.72" "pop=653.72" "pop=723.06" "pop=798.06" "pop=877.5" "pop=968.32" "pop=1088.82" "pop=1269.16" "pop=1618.24" "pop=5218.58"
12 24 29 40 48 66 92 119 158 222 282 358 365 450 524 558 652 696 837 886 940 1055 1198 1539 1894
12 18 25 45 52 78 87 135 156 202 272 340 397 442 517 571 675 757 795 897 940 1117 1322 1643 2100
13 23 25 44 58 80 90 141 150 191 250 316 385 462 512 581 626 758 776 896 953 1115 1187 1836 2394
12 17 25 43 51 76 89 134 148 193 289 332 404 436 519 572 638 721 816 875 992 1104 1164 1424 1876
12 19 33 46 59 77 99 122 170 204 289 301 421 470 548 605 645 694 771 846 945 1128 1193 1465 1981
13 22 30 38 53 67 98 110 154 234 241 308 368 480 531 586 623 738 780 914 981 1050 1186 1418 2683
12 18 29 41 54 81 83 121 157 212 289 319 394 481 532 561 636 756 771 881 941 1060 1221 1563 2059
11 19 27 47 49 74 88 112 171 232 284 361 419 483 532 588 669 693 810 854 1012 1063 1203 1461 3218
11 17 29 41 59 71 92 137 159 208 261 302 391 456 495 579 623 741 762 878 926 1141 1208 1388 1904
13 19 25 47 57 67 84 120 158 233 262 331 404 466 527 556 645 700 801 876 976 1035 1179 1629 1901
11 22 26 40 50 73 100 124 156 213 265 326 419 455 520 574 640 716 809 857 954 1043 1191 1714 1863
15 21 30 41 59 79 89 121 165 211 281 311 369 432 537 602 642 707 773 918 978 1140 1342 1781 1959
13 24 28 35 59 76 108 138 166 232 278 351 417 454 498 617 622 714 807 878 942 1030 1162 1707 3080
15 22 28 45 51 68 104 130 158 228 287 314 373 456 526 561 632 702 833 856 987 1073 1361 1645 2591
13 18 32 35 52 72 82 124 171 231 258 298 396 478 514 587 681 725 818 842 1014 1133 1215 1630 2450
15 18 31 42 52 72 83 128 163 200 248 348 409 445 549 581 644 720 788 865 1011 1045 1263 1509 3023
16 18 27 44 50 74 101 116 171 193 256 341 420 462 503 613 673 717 784 910 921 1140 1257 1686 1883
11 19 26 39 59 66 85 141 143 210 247 360 379 478 537 618 680 748 802 840 972 1046 1209 1750 1978
12 19 25 45 58 65 95 109 151 225 284 328 390 479 505 577 652 743 792 875 1015 1158 1291 1503 1932
14 22 28 42 54 69 89 138 177 221 279 361 375 423 489 557 665 712 768 857 936 1062 1171 1444 2295
15 22 25 35 58 78 104 125 163 206 278 349 405 434 500 618 649 737 805 916 977 1058 1182 1479 1873
12 23 33 35 57 65 84 132 175 204 246 354 367 465 490 614 659 719 771 869 961 1055 1342 1628 2035
12 17 28 40 55 78 100 133 154 219 288 340 382 424 507 581 644 757 822 884 973 1072 1249 1824 2751
