"pop=11.5" "pop=14.5" "pop=18" "pop=22" "pop=26.5" "pop=31.5" "pop=37" "pop=43.5" "pop=51" "pop=59" "pop=67" "pop=76" "pop=87" "pop=100.5" "pop=115.5" "pop=132" "pop=150.5" "pop=170.5" "pop=194" "pop=221" "pop=248.5" "pop=278" "pop=311" "pop=345.04" "pop=377.54" "pop=407.5" "pop=439" "pop=472" "pop=504.84" "pop=538.34" "pop=571.5" "pop=604.22" "pop=636.400000000001" "pop=669.68" "pop=706" "pop=742.06" "pop=778.06" "pop=817" "pop=856" "pop=896.5" "pop=940.860000000001" "pop=991.18" "pop=1048.6" "pop=1118.78" "pop=1205.7" "pop=1315.86" "pop=1469.66" "pop=1708.58" "pop=2127.2" "pop=5488.62"
12 15 18 24 29 33 40 45 48 58 66 78 92 99 119 135 158 170 202 222 250 282 316 358 365 397 450 462 517 524 558 605 652 675 696 757 795 837 875 886 940 992 1055 1117 1198 1322 1539 1643 1894 2683
12 15 17 23 25 30 38 44 52 59 67 80 87 98 122 141 156 171 191 234 241 272 301 340 385 404 442 470 512 548 571 602 626 669 721 758 776 816 846 897 940 981 1050 1115 1187 1342 1424 1836 2100 3218
13 15 19 22 25 30 40 43 51 59 71 76 90 100 110 134 150 165 193 212 261 289 308 332 368 421 436 480 519 531 581 617 638 681 694 738 771 810 854 896 953 1012 1060 1104 1164 1361 1465 1563 2394 3080
12 16 18 22 25 32 35 46 53 57 67 77 89 108 121 137 148 166 204 232 262 289 319 361 391 394 456 481 495 532 572 613 645 673 693 756 780 801 857 914 945 976 1063 1128 1193 1263 1418 1629 1876 2591
12 14 19 21 29 31 35 41 54 59 68 81 83 104 112 124 154 171 200 208 258 289 302 331 369 419 455 483 520 532 586 618 623 680 700 741 771 809 856 881 941 978 1035 1141 1186 1257 1461 1714 1981 2450
13 15 17 24 27 33 39 47 49 59 66 74 88 101 120 138 157 163 193 233 248 284 326 351 373 404 432 466 498 527 561 618 636 665 716 748 762 807 842 878 926 987 1043 1140 1221 1291 1388 1781 2059 3023
12 16 19 22 29 34 35 41 50 59 65 73 92 95 121 130 159 171 206 213 256 265 311 348 379 419 454 478 514 537 588 614 623 659 707 743 773 833 865 876 954 1014 1030 1133 1203 1342 1509 1707 1904 2751
11 14 18 22 25 32 35 47 51 58 69 79 84 104 116 124 158 177 204 211 247 281 314 341 390 417 456 462 503 526 579 618 645 658 714 737 788 818 840 918 942 1011 1073 1140 1208 1281 1503 1645 1901 2910
11 16 18 22 26 34 40 41 52 58 65 76 89 100 109 128 156 163 194 232 246 278 298 360 375 396 445 478 505 549 556 589 640 676 702 757 784 802 875 878 921 972 1045 1158 1179 1284 1444 1630 1863 2503
13 15 18 23 28 34 36 45 52 57 69 72 82 101 122 141 158 175 202 228 245 287 328 361 367 409 423 479 489 537 574 614 642 682 725 741 792 805 857 910 936 1015 1046 1080 1191 1338 1479 1686 1959 2412
11 15 19 23 28 32 37 42 50 57 70 72 83 101 121 138 143 176 194 231 236 284 311 349 382 420 434 465 500 535 561 592 622 659 720 744 768 822 869 916 961 977 1062 1098 1162 1363 1547 1750 1883 3239
